,NETWORKNAME,CONVNAME,BATCHSIZE,INPUT_CHANNEL,INPUT_SIZE,OUTPUT_CHANNEL,KERNEL_SIZE,STRIDE,PADDING,OUTPUT_SIZE,256x64_TILE_NUMS,256x96_TILE_NUMS,192x64_TILE_NUMS,384x64_TILE_NUMS,256x64_FAKE_AP_USAGE,256x64_REAL_AP_USAGE,256x96_FAKE_AP_USAGE,256x96_REAL_AP_USAGE,192x64_FAKE_AP_USAGE,192x64_REAL_AP_USAGE,384x64_FAKE_AP_USAGE,384x64_REAL_AP_USAGE
63,resnet50,Conv2d-11_back_data,128,256,56x56,64,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
64,resnet50,Conv2d-12_back_data,128,128,56x56,256,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 4)","(1568, 3)","(2091, 4)","(1046, 4)",29.037037037037038,29.037037037037038,21.77777777777778,19.358024691358025,38.72222222222222,38.716049382716044,19.37037037037037,19.358024691358022
65,resnet50,Conv2d-13_back_data,128,128,58x58,128,3x3,"(1, 1)","(0, 0)",56x56,"(1568, 2)","(1568, 2)","(2091, 2)","(1046, 2)",14.518518518518519,14.518518518518519,14.518518518518519,9.679012345679013,19.36111111111111,19.358024691358022,9.685185185185185,9.679012345679011
66,resnet50,Conv2d-14_back_data,128,512,28x28,128,1x1,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
67,resnet50,Conv2d-15_back_data,128,512,56x56,256,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 4)","(1568, 3)","(2091, 4)","(1046, 4)",29.037037037037038,29.037037037037038,21.77777777777778,19.358024691358025,38.72222222222222,38.716049382716044,19.37037037037037,19.358024691358022
68,resnet50,Conv2d-16_back_data,128,128,28x28,512,1x1,"(1, 1)","(0, 0)",28x28,"(392, 8)","(392, 6)","(523, 8)","(262, 8)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.703703703703704,9.679012345679013
69,resnet50,Conv2d-17_back_data,128,128,30x30,128,3x3,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
70,resnet50,Conv2d-18_back_data,128,512,28x28,128,1x1,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
71,resnet50,Conv2d-19_back_data,128,128,28x28,512,1x1,"(1, 1)","(0, 0)",28x28,"(392, 8)","(392, 6)","(523, 8)","(262, 8)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.703703703703704,9.679012345679013
72,resnet50,Conv2d-20_back_data,128,128,30x30,128,3x3,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
73,resnet50,Conv2d-21_back_data,128,512,28x28,128,1x1,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
74,resnet50,Conv2d-22_back_data,128,128,28x28,512,1x1,"(1, 1)","(0, 0)",28x28,"(392, 8)","(392, 6)","(523, 8)","(262, 8)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.703703703703704,9.679012345679013
75,resnet50,Conv2d-23_back_data,128,128,30x30,128,3x3,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
76,resnet50,Conv2d-24_back_data,128,512,28x28,128,1x1,"(1, 1)","(0, 0)",28x28,"(392, 2)","(392, 2)","(523, 2)","(262, 2)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.425925925925926,2.419753086419753
77,resnet50,Conv2d-25_back_data,128,256,28x28,512,1x1,"(1, 1)","(0, 0)",28x28,"(392, 8)","(392, 6)","(523, 8)","(262, 8)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.703703703703704,9.679012345679013
78,resnet50,Conv2d-26_back_data,128,256,30x30,256,3x3,"(1, 1)","(0, 0)",28x28,"(392, 4)","(392, 3)","(523, 4)","(262, 4)",7.2592592592592595,7.2592592592592595,5.444444444444445,4.839506172839506,9.685185185185185,9.679012345679011,4.851851851851852,4.839506172839506
79,resnet50,Conv2d-27_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
80,resnet50,Conv2d-28_back_data,128,1024,28x28,512,1x1,"(1, 1)","(0, 0)",28x28,"(392, 8)","(392, 6)","(523, 8)","(262, 8)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.703703703703704,9.679012345679013
81,resnet50,Conv2d-29_back_data,128,256,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
82,resnet50,Conv2d-30_back_data,128,256,16x16,256,3x3,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
83,resnet50,Conv2d-31_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
84,resnet50,Conv2d-32_back_data,128,256,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
85,resnet50,Conv2d-33_back_data,128,256,16x16,256,3x3,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
86,resnet50,Conv2d-34_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
87,resnet50,Conv2d-35_back_data,128,256,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
88,resnet50,Conv2d-36_back_data,128,256,16x16,256,3x3,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
89,resnet50,Conv2d-37_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
90,resnet50,Conv2d-38_back_data,128,256,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
91,resnet50,Conv2d-39_back_data,128,256,16x16,256,3x3,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
92,resnet50,Conv2d-40_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
93,resnet50,Conv2d-41_back_data,128,256,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
94,resnet50,Conv2d-42_back_data,128,256,16x16,256,3x3,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
95,resnet50,Conv2d-43_back_data,128,1024,14x14,256,1x1,"(1, 1)","(0, 0)",14x14,"(98, 4)","(98, 3)","(131, 4)","(66, 4)",1.8148148148148149,1.8148148148148149,1.3611111111111112,1.2098765432098766,2.425925925925926,2.419753086419753,1.2222222222222223,1.2098765432098766
96,resnet50,Conv2d-44_back_data,128,512,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
97,resnet50,Conv2d-45_back_data,128,512,16x16,512,3x3,"(1, 1)","(0, 0)",14x14,"(98, 8)","(98, 6)","(131, 8)","(66, 8)",3.6296296296296298,3.6296296296296298,2.7222222222222223,2.419753086419753,4.851851851851852,4.839506172839506,2.4444444444444446,2.419753086419753
98,resnet50,Conv2d-46_back_data,128,2048,7x7,512,1x1,"(1, 1)","(0, 0)",7x7,"(25, 8)","(25, 6)","(33, 8)","(17, 8)",0.9259259259259259,0.9074074074074074,0.6944444444444444,0.6049382716049382,1.2222222222222223,1.2098765432098766,0.6296296296296297,0.6049382716049383
99,resnet50,Conv2d-47_back_data,128,2048,14x14,1024,1x1,"(1, 1)","(0, 0)",14x14,"(98, 16)","(98, 11)","(131, 16)","(66, 16)",7.2592592592592595,7.2592592592592595,4.9907407407407405,4.8395061728395055,9.703703703703704,9.679012345679013,4.888888888888889,4.839506172839506
100,resnet50,Conv2d-48_back_data,128,512,7x7,2048,1x1,"(1, 1)","(0, 0)",7x7,"(25, 32)","(25, 22)","(33, 32)","(17, 32)",3.7037037037037037,3.6296296296296298,2.5462962962962963,2.4197530864197527,4.888888888888889,4.839506172839506,2.5185185185185186,2.419753086419753
